"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"FRID-01-0007","06-16-2004",1000,"TSUGCAN","Tsuga canadensis",1,741,4.35483885,327.6
"FRID-01-0009","06-19-2004",1000,"TSUGCAN","Tsuga canadensis",6,665.5,4.77475882,194.2
"FRID-01-0011","07-06-2004",400,"TSUGCAN","Tsuga canadensis",7,844.7,7.34298182,367.2
"FRID-01-0013","07-07-2004",1000,"TSUGCAN","Tsuga canadensis",7,885.7,6.54796314,50
"FRID-01-0015","07-08-2004",1000,"TSUGCAN","Tsuga canadensis",1,639.7,4.60362005,219.3
"FRID-02-0014","07-08-2004",1000,"TSUGCAN","Tsuga canadensis",2,607.9,4.88558483,176.9
"FRID-08-0012","07-07-2004",1000,"TSUGCAN","Tsuga canadensis",5,884,13.27,10
"FRID-0T-0001","06-10-2004",100,"TSUGCAN","Tsuga canadensis",7,559.9,6.21907806,56.57
"FRID-0T-0002","06-10-2004",100,"TSUGCAN","Tsuga canadensis",5,596,6.70702505,36.06
"FRID-0T-0003","06-10-2004",100,"TSUGCAN","Tsuga canadensis",8,636,4.69217587,40
"FRID-0T-0005","06-10-2004",100,"TSUGCAN","Tsuga canadensis",8,683.5,3.98786211,107.7
"FRID-0T-0006","06-11-2004",100,"TSUGCAN","Tsuga canadensis",5,1459,6.11849308,327.6
"FRID-0T-0008","06-11-2004",100,"TSUGCAN","Tsuga canadensis",5,1393,3.949471,537.1
"FRID-0T-0009","06-11-2004",100,"TSUGCAN","Tsuga canadensis",4,1378,4.09776306,482.7
"FRID-0T-0010","06-11-2004",100,"TSUGCAN","Tsuga canadensis",2,1246,5.84751987,90.55
"FRID-0T-0018","06-12-2004",100,"TSUGCAN","Tsuga canadensis",8,1578,5.59797478,434.2
"FRID-0T-0019","06-12-2004",100,"TSUGCAN","Tsuga canadensis",3,1504,6.38938713,544.9
"FRID-0T-0020","06-13-2004",100,"TSUGCAN","Tsuga canadensis",6,641.5,7.43696022,31.62
"FRID-0T-0021","06-13-2004",100,"TSUGCAN","Tsuga canadensis",5,643.6,11.16,10
"FRID-0T-0022","06-13-2004",100,"TSUGCAN","Tsuga canadensis",6,678.9,7.06037712,50
"FRID-0T-0023","06-13-2004",100,"TSUGCAN","Tsuga canadensis",6,685,6.75654221,20
"FRID-0T-0024","06-13-2004",100,"TSUGCAN","Tsuga canadensis",6,727.7,4.90957689,50
"FRID-0T-0025","06-14-2004",100,"TSUGCAN","Tsuga canadensis",7,1085,12.77,22.36
"FRID-0T-0026","06-14-2004",100,"TSUGCAN","Tsuga canadensis",8,1049,8.04314041,20
"FRID-0T-0027","06-14-2004",100,"TSUGCAN","Tsuga canadensis",9,1030,7.45590305,31.62
"FRID-0T-0028","06-14-2004",100,"TSUGCAN","Tsuga canadensis",8,999.2,8.64093113,14.14
"FRID-0T-0029","06-15-2004",100,"TSUGCAN","Tsuga canadensis",6,743.3,7.8506732,53.85
"FRID-0T-0030","06-15-2004",100,"TSUGCAN","Tsuga canadensis",3,794.4,8.83848763,20
"FRID-0T-0031","06-15-2004",100,"TSUGCAN","Tsuga canadensis",6,813.5,4.94565392,56.57
"FRID-0T-0032","06-15-2004",100,"TSUGCAN","Tsuga canadensis",8,803.1,5.93446589,14.14
"FRID-0T-0033","06-15-2004",100,"TSUGCAN","Tsuga canadensis",8,838.7,4.44005394,0
"FRID-0T-0034","06-17-2004",100,"TSUGCAN","Tsuga canadensis",7,990.7,5.89945698,67.08
"FRID-0T-0035","06-17-2004",100,"TSUGCAN","Tsuga canadensis",6,960.8,7.44308996,22.36
"FRID-0T-0036","06-17-2004",100,"TSUGCAN","Tsuga canadensis",5,941.6,4.6236968,90
"FRID-0T-0037","06-17-2004",100,"TSUGCAN","Tsuga canadensis",8,907.8,5.60139608,41.23
"FRID-0T-0038","06-17-2004",100,"TSUGCAN","Tsuga canadensis",6,884.4,7.06824207,98.49
"FRID-0T-0039","06-18-2004",100,"TSUGCAN","Tsuga canadensis",5,840.7,8.79245758,20
"MILL-01-0024","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,670.6,25,92.2
"MILL-03-0020","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,947.2,5.95981312,131.5
"MILL-07-0024","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",10,494.2,12.26,0
"MILL-07-0052","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,645.2,8.72260094,85.44
"MILL-10-0019","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,534.9,4.13403893,40
"MILL-11-0017","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,677,4.49968719,287.9
"MILL-12-0007","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,859,5.11756897,102
"MILL-17-0010","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,869,3.96050692,100
"MILL-17-0015","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,867.5,5.06390095,58.31
"MILL-18-0021","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,717.7,6.16744995,107.7
"MILL-20-0010","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,732.3,4.30205011,22.36
"MILL-20-0044","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,1190,4.8611598,103
